title,timestamp,performance.cpuModel,performance.cpuTotal,performance.cpuMain,performance.cpuRender,performance.cpuSwift,performance.memTotalPct,performance.memMainPct,performance.memRenderPct,performance.memSwiftPct,performance.memTotalGB,performance.memMainGB,performance.memRenderGB,performance.memSwiftGB
Recording Performance Monitoring,2025-04-28T22:08:28+00:00,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,99.95,1.42,92.39,6.14,17.64,1.28,16.27,0.10,2.82,0.20,2.60,0.02
General Performance Monitoring,2025-04-28T22:05:31+00:00,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,100.26,1.37,92.67,6.22,13.75,1.17,12.49,0.10,2.20,0.19,2.00,0.02
Recording Performance Monitoring,2025-04-28T22:03:28+00:00,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,100.94,1.37,93.30,6.27,13.44,1.15,12.19,0.10,2.15,0.18,1.95,0.02
Recording Performance Monitoring,2025-04-28T21:58:28+00:00,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,101.26,1.36,93.57,6.32,18.92,1.13,11.85,5.94,3.03,0.18,1.90,0.95
Recording Performance Monitoring,2025-04-28T21:53:28+00:00,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,100.62,1.36,92.93,6.33,18.54,1.13,12.13,5.27,2.97,0.18,1.94,0.84
Recording Performance Monitoring,2025-04-28T21:48:28+00:00,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,99.97,1.36,92.27,6.33,17.37,1.13,11.64,4.60,2.78,0.18,1.86,0.74
Recording Performance Monitoring,2025-04-28T21:43:28+00:00,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,99.24,1.36,91.55,6.33,16.66,1.13,11.60,3.93,2.67,0.18,1.86,0.63
Recording Performance Monitoring,2025-04-28T21:38:28+00:00,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,98.55,1.36,90.86,6.33,15.81,1.13,11.42,3.26,2.53,0.18,1.83,0.52
General Performance Monitoring,2025-04-28T21:35:31+00:00,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,98.14,1.36,90.44,6.34,15.02,1.13,11.02,2.87,2.40,0.18,1.76,0.46
Recording Performance Monitoring,2025-04-28T21:33:28+00:00,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,97.81,1.36,90.11,6.34,14.66,1.13,10.95,2.59,2.35,0.18,1.75,0.41
Recording Performance Monitoring,2025-04-28T21:28:28+00:00,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,97.04,1.36,89.34,6.34,13.90,1.13,10.86,1.92,2.22,0.18,1.74,0.31
Recording Performance Monitoring,2025-04-28T21:23:28+00:00,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,96.18,1.36,88.48,6.34,12.99,1.13,10.62,1.25,2.08,0.18,1.70,0.20
Recording Performance Monitoring,2025-04-28T21:18:28+00:00,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,95.28,1.36,87.58,6.34,12.11,1.12,10.41,0.58,1.94,0.18,1.67,0.09
Recording Performance Monitoring,2025-04-28T21:13:28+00:00,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,94.37,1.36,86.67,6.33,13.96,1.17,10.37,2.43,2.23,0.19,1.66,0.39
Recording Performance Monitoring,2025-04-28T21:08:28+00:00,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,93.43,1.36,85.74,6.33,13.01,1.18,9.72,2.11,2.08,0.19,1.56,0.34
General Performance Monitoring,2025-04-28T21:05:31+00:00,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,92.86,1.36,85.16,6.34,12.45,1.18,9.56,1.71,1.99,0.19,1.53,0.27
Recording Performance Monitoring,2025-04-28T21:03:28+00:00,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,92.42,1.36,84.73,6.34,12.32,1.18,9.71,1.44,1.97,0.19,1.55,0.23
Recording Performance Monitoring,2025-04-28T20:58:28+00:00,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,91.43,1.35,83.75,6.33,13.17,1.23,9.51,2.43,2.11,0.20,1.52,0.39
Recording Performance Monitoring,2025-04-28T20:53:28+00:00,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,90.26,1.35,82.59,6.33,13.58,1.22,9.33,3.02,2.17,0.20,1.49,0.48
Recording Performance Monitoring,2025-04-28T20:48:27+00:00,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,89.05,1.35,81.39,6.32,15.09,1.23,9.40,4.46,2.41,0.20,1.50,0.71
Recording Performance Monitoring,2025-04-28T20:43:27+00:00,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,87.80,1.35,80.14,6.31,15.94,1.24,9.59,5.12,2.55,0.20,1.53,0.82
Recording Performance Monitoring,2025-04-28T20:38:27+00:00,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,86.48,1.35,78.84,6.30,16.72,1.24,9.46,6.02,2.68,0.20,1.51,0.96
General Performance Monitoring,2025-04-28T20:35:31+00:00,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,85.69,1.34,78.05,6.30,17.24,1.24,9.46,6.55,2.76,0.20,1.51,1.05
Recording Performance Monitoring,2025-04-28T20:33:27+00:00,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,85.12,1.34,77.48,6.29,17.74,1.23,9.24,7.27,2.84,0.20,1.48,1.16
Recording Performance Monitoring,2025-04-28T20:28:27+00:00,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,83.62,1.34,76.00,6.28,24.46,1.23,9.17,14.05,3.91,0.20,1.47,2.25
Recording Performance Monitoring,2025-04-28T20:23:27+00:00,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,82.14,1.34,74.54,6.26,24.46,1.24,9.16,14.07,3.91,0.20,1.47,2.25
Recording Performance Monitoring,2025-04-28T20:18:27+00:00,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,80.46,1.34,72.88,6.24,23.63,1.24,8.82,13.57,3.78,0.20,1.41,2.17
Recording Performance Monitoring,2025-04-28T20:13:27+00:00,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,78.64,1.34,71.08,6.22,22.62,1.24,8.48,12.90,3.62,0.20,1.36,2.06
Recording Performance Monitoring,2025-04-28T20:08:27+00:00,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,76.68,1.34,69.14,6.20,21.71,1.24,8.24,12.23,3.47,0.20,1.32,1.96
General Performance Monitoring,2025-04-28T20:05:31+00:00,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,75.45,1.34,67.93,6.18,21.22,1.24,8.15,11.83,3.39,0.20,1.30,1.89
Recording Performance Monitoring,2025-04-28T20:03:27+00:00,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,74.56,1.34,67.05,6.17,21.04,1.24,8.24,11.56,3.37,0.20,1.32,1.85
Recording Performance Monitoring,2025-04-28T19:58:27+00:00,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,72.34,1.34,64.87,6.14,19.97,1.24,7.85,10.89,3.20,0.20,1.26,1.74
Recording Performance Monitoring,2025-04-28T19:53:27+00:00,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,69.84,1.34,62.40,6.10,18.98,1.24,7.52,10.21,3.04,0.20,1.20,1.63
Recording Performance Monitoring,2025-04-28T19:48:27+00:00,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,67.13,1.34,59.73,6.06,18.06,1.24,7.27,9.54,2.89,0.20,1.16,1.53
Recording Performance Monitoring,2025-04-28T19:43:27+00:00,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,64.28,1.34,56.93,6.01,17.46,1.24,7.35,8.87,2.79,0.20,1.18,1.42
Recording Performance Monitoring,2025-04-28T19:38:27+00:00,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,61.37,1.35,54.05,5.97,16.25,1.24,6.80,8.20,2.60,0.20,1.09,1.31
General Performance Monitoring,2025-04-28T19:35:31+00:00,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,59.51,1.35,52.23,5.94,15.68,1.24,6.63,7.81,2.51,0.20,1.06,1.25
Recording Performance Monitoring,2025-04-28T19:33:27+00:00,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,58.19,1.35,50.92,5.91,15.36,1.24,6.59,7.53,2.46,0.20,1.05,1.21
Recording Performance Monitoring,2025-04-28T19:28:27+00:00,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,54.87,1.36,47.65,5.86,14.55,1.24,6.45,6.86,2.33,0.20,1.03,1.10
Recording Performance Monitoring,2025-04-28T19:23:27+00:00,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,51.50,1.37,44.32,5.81,13.43,1.24,6.00,6.19,2.15,0.20,0.96,0.99
Recording Performance Monitoring,2025-04-28T19:18:27+00:00,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,47.95,1.38,40.81,5.76,12.60,1.24,5.84,5.52,2.02,0.20,0.93,0.88
Recording Performance Monitoring,2025-04-28T19:13:27+00:00,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,44.18,1.39,37.08,5.70,11.67,1.24,5.58,4.85,1.87,0.20,0.89,0.78
Recording Performance Monitoring,2025-04-28T19:08:27+00:00,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,40.17,1.41,33.12,5.64,10.64,1.24,5.22,4.18,1.70,0.20,0.84,0.67
General Performance Monitoring,2025-04-28T19:05:31+00:00,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,37.66,1.42,30.65,5.59,12.73,1.24,5.11,6.38,2.04,0.20,0.82,1.02
Recording Performance Monitoring,2025-04-28T19:03:27+00:00,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,35.85,1.43,28.86,5.56,12.37,1.24,5.02,6.11,1.98,0.20,0.80,0.98
Recording Performance Monitoring,2025-04-28T18:58:27+00:00,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,31.15,1.45,24.22,5.48,11.49,1.24,4.82,5.44,1.84,0.20,0.77,0.87
Recording Performance Monitoring,2025-04-28T18:53:27+00:00,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,26.03,1.48,19.17,5.38,10.46,1.24,4.46,4.77,1.67,0.20,0.71,0.76
Recording Performance Monitoring,2025-04-28T18:48:27+00:00,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,22.03,1.50,15.25,5.28,9.35,1.23,4.02,4.10,1.50,0.20,0.64,0.66
Recording Performance Monitoring,2025-04-28T18:43:27+00:00,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,22.32,1.55,15.64,5.13,8.44,1.23,3.78,3.42,1.35,0.20,0.61,0.55
Recording Performance Monitoring,2025-04-28T18:38:27+00:00,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,22.86,1.61,16.18,5.08,7.61,1.23,3.62,2.75,1.22,0.20,0.58,0.44
General Performance Monitoring,2025-04-28T18:35:31+00:00,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,23.23,1.65,16.55,5.02,7.10,1.23,3.51,2.36,1.14,0.20,0.56,0.38
Recording Performance Monitoring,2025-04-28T18:33:27+00:00,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,23.29,1.68,16.67,4.95,6.72,1.23,3.40,2.08,1.07,0.20,0.54,0.33
Recording Performance Monitoring,2025-04-28T18:28:27+00:00,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,20.65,1.79,14.06,4.80,5.96,1.22,3.33,1.41,0.95,0.20,0.53,0.23
Recording Performance Monitoring,2025-04-28T18:23:27+00:00,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,19.06,1.96,12.51,4.59,5.82,1.21,2.94,1.68,0.93,0.19,0.47,0.27
Recording Performance Monitoring,2025-04-28T18:18:27+00:00,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,18.98,2.21,12.54,4.22,4.71,1.19,2.51,1.01,0.75,0.19,0.40,0.16
Recording Performance Monitoring,2025-04-28T18:13:27+00:00,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,19.91,2.88,13.61,3.43,3.66,1.18,2.15,0.34,0.59,0.19,0.34,0.05
Recording Performance Monitoring,2025-04-28T18:08:27+00:00,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,17.27,5.04,12.20,0.02,2.98,1.18,1.75,0.05,0.48,0.19,0.28,0.01
General Performance Monitoring,2025-04-28T18:05:31+00:00,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,18.44,18.44,,0.00,0.97,0.94,,0.03,0.16,0.15,,0.01
