title,timestamp,performance.cpuModel,performance.cpuTotal,performance.cpuMain,performance.cpuRender,performance.cpuSwift,performance.memTotalPct,performance.memMainPct,performance.memRenderPct,performance.memSwiftPct,performance.memTotalGB,performance.memMainGB,performance.memRenderGB,performance.memSwiftGB
General Performance Monitoring,2025-04-30T19:43:50+00:00,Apple M4,67.12,0.98,63.45,2.69,4.82,0.65,4.09,0.07,0.77,0.10,0.66,0.01
Recording Performance Monitoring,2025-04-30T19:13:58+00:00,Apple M4,117.50,1.00,114.00,2.50,7.59,0.48,7.01,0.10,1.21,0.08,1.12,0.02
General Performance Monitoring,2025-04-30T19:13:50+00:00,Apple M4,73.31,0.88,69.42,3.02,11.82,0.61,11.11,0.10,1.89,0.10,1.78,0.02
Recording Performance Monitoring,2025-04-30T19:08:58+00:00,Apple M4,72.40,0.88,68.50,3.03,11.76,0.93,10.73,0.10,1.88,0.15,1.72,0.02
Recording Performance Monitoring,2025-04-30T19:03:58+00:00,Apple M4,71.46,0.88,67.54,3.04,11.24,0.92,10.21,0.11,1.80,0.15,1.63,0.02
Recording Performance Monitoring,2025-04-30T18:58:58+00:00,Apple M4,70.53,0.89,66.60,3.05,11.53,0.89,10.53,0.11,1.85,0.14,1.68,0.02
Recording Performance Monitoring,2025-04-30T18:53:58+00:00,Apple M4,69.60,0.89,65.65,3.06,11.64,1.18,10.35,0.11,1.86,0.19,1.66,0.02
Recording Performance Monitoring,2025-04-30T18:48:58+00:00,Apple M4,68.68,0.89,64.72,3.07,11.16,0.89,10.14,0.13,1.79,0.14,1.62,0.02
Recording Performance Monitoring,2025-04-30T18:43:58+00:00,Apple M4,103.38,0.63,100.25,2.50,11.10,0.93,10.04,0.13,1.78,0.15,1.61,0.02
General Performance Monitoring,2025-04-30T18:43:50+00:00,Apple M4,67.75,0.90,63.77,3.09,10.89,0.88,9.90,0.11,1.74,0.14,1.58,0.02
Recording Performance Monitoring,2025-04-30T18:38:58+00:00,Apple M4,66.85,0.90,62.85,3.10,9.70,0.85,8.74,0.11,1.55,0.14,1.40,0.02
Recording Performance Monitoring,2025-04-30T18:33:58+00:00,Apple M4,65.94,0.90,61.92,3.12,10.33,0.88,9.34,0.11,1.65,0.14,1.49,0.02
Recording Performance Monitoring,2025-04-30T18:28:58+00:00,Apple M4,65.05,0.91,61.01,3.13,7.39,0.56,6.73,0.10,1.18,0.09,1.08,0.02
Recording Performance Monitoring,2025-04-30T18:23:58+00:00,Apple M4,64.16,0.91,60.10,3.14,9.67,0.57,8.99,0.11,1.55,0.09,1.44,0.02
Recording Performance Monitoring,2025-04-30T18:18:58+00:00,Apple M4,63.31,0.92,59.23,3.16,9.77,0.82,8.83,0.11,1.56,0.13,1.41,0.02
Recording Performance Monitoring,2025-04-30T18:13:58+00:00,Apple M4,94.38,1.00,90.88,2.50,5.81,0.73,4.97,0.10,0.93,0.12,0.80,0.02
General Performance Monitoring,2025-04-30T18:13:50+00:00,Apple M4,62.42,0.92,58.32,3.18,9.45,0.80,8.55,0.10,1.51,0.13,1.37,0.02
Recording Performance Monitoring,2025-04-30T18:08:58+00:00,Apple M4,61.63,0.93,57.50,3.20,9.13,0.60,8.41,0.11,1.46,0.10,1.35,0.02
Recording Performance Monitoring,2025-04-30T18:03:58+00:00,Apple M4,60.82,0.93,56.67,3.22,9.15,0.71,8.31,0.13,1.46,0.11,1.33,0.02
Recording Performance Monitoring,2025-04-30T17:58:58+00:00,Apple M4,60.07,0.94,55.89,3.24,9.05,0.81,8.11,0.13,1.45,0.13,1.30,0.02
Recording Performance Monitoring,2025-04-30T17:53:58+00:00,Apple M4,59.35,0.95,55.15,3.26,8.83,0.81,7.89,0.13,1.41,0.13,1.26,0.02
Recording Performance Monitoring,2025-04-30T17:48:58+00:00,Apple M4,58.67,0.95,54.43,3.28,8.42,0.67,7.64,0.12,1.35,0.11,1.22,0.02
Recording Performance Monitoring,2025-04-30T17:43:58+00:00,Apple M4,75.00,0.63,71.88,2.50,8.23,0.76,7.36,0.11,1.32,0.12,1.18,0.02
General Performance Monitoring,2025-04-30T17:43:50+00:00,Apple M4,58.01,0.96,53.74,3.31,7.55,0.76,6.68,0.11,1.21,0.12,1.07,0.02
Recording Performance Monitoring,2025-04-30T17:38:58+00:00,Apple M4,57.38,0.97,53.08,3.33,8.15,0.80,7.23,0.12,1.30,0.13,1.16,0.02
Recording Performance Monitoring,2025-04-30T17:33:58+00:00,Apple M4,56.67,0.97,52.35,3.35,7.94,0.79,7.04,0.11,1.27,0.13,1.13,0.02
Recording Performance Monitoring,2025-04-30T17:28:58+00:00,Apple M4,56.06,0.98,51.70,3.38,7.68,0.67,6.87,0.13,1.23,0.11,1.10,0.02
Recording Performance Monitoring,2025-04-30T17:23:58+00:00,Apple M4,55.43,0.99,51.04,3.40,7.58,0.78,6.67,0.13,1.21,0.13,1.07,0.02
Recording Performance Monitoring,2025-04-30T17:18:58+00:00,Apple M4,54.77,1.00,50.34,3.43,7.07,0.59,6.36,0.11,1.13,0.09,1.02,0.02
Recording Performance Monitoring,2025-04-30T17:13:58+00:00,Apple M4,69.63,1.00,66.13,2.50,4.70,0.58,4.02,0.10,0.75,0.09,0.64,0.02
General Performance Monitoring,2025-04-30T17:13:50+00:00,Apple M4,54.06,1.01,49.59,3.46,6.93,0.62,6.19,0.11,1.11,0.10,0.99,0.02
Recording Performance Monitoring,2025-04-30T17:08:58+00:00,Apple M4,53.35,1.02,48.83,3.49,7.04,0.78,6.12,0.14,1.13,0.12,0.98,0.02
Recording Performance Monitoring,2025-04-30T17:03:58+00:00,Apple M4,52.57,1.03,48.01,3.52,6.65,0.73,5.81,0.11,1.06,0.12,0.93,0.02
Recording Performance Monitoring,2025-04-30T16:58:58+00:00,Apple M4,51.78,1.04,47.18,3.56,6.58,0.77,5.65,0.15,1.05,0.12,0.90,0.02
Recording Performance Monitoring,2025-04-30T16:53:58+00:00,Apple M4,50.97,1.05,46.32,3.59,6.27,0.69,5.46,0.12,1.00,0.11,0.87,0.02
Recording Performance Monitoring,2025-04-30T16:48:58+00:00,Apple M4,50.16,1.07,45.46,3.63,6.60,0.78,5.66,0.15,1.06,0.13,0.91,0.02
Recording Performance Monitoring,2025-04-30T16:43:58+00:00,Apple M4,63.25,0.88,59.62,2.75,5.71,0.64,4.96,0.11,0.91,0.10,0.79,0.02
General Performance Monitoring,2025-04-30T16:43:50+00:00,Apple M4,49.34,1.08,44.59,3.68,4.02,0.59,3.33,0.10,0.64,0.09,0.53,0.02
Recording Performance Monitoring,2025-04-30T16:38:58+00:00,Apple M4,48.60,1.10,43.78,3.72,5.53,0.73,4.69,0.12,0.89,0.12,0.75,0.02
Recording Performance Monitoring,2025-04-30T16:33:58+00:00,Apple M4,47.84,1.11,42.97,3.77,5.86,0.72,5.00,0.14,0.94,0.12,0.80,0.02
Recording Performance Monitoring,2025-04-30T16:28:58+00:00,Apple M4,47.10,1.13,42.15,3.82,5.28,0.69,4.45,0.13,0.84,0.11,0.71,0.02
Recording Performance Monitoring,2025-04-30T16:23:58+00:00,Apple M4,46.29,1.15,41.26,3.88,5.26,0.74,4.36,0.16,0.84,0.12,0.70,0.02
Recording Performance Monitoring,2025-04-30T16:18:58+00:00,Apple M4,45.45,1.17,40.32,3.95,5.33,0.69,4.50,0.14,0.85,0.11,0.72,0.02
Recording Performance Monitoring,2025-04-30T16:13:58+00:00,Apple M4,53.75,1.13,49.75,2.88,4.63,0.70,3.80,0.13,0.74,0.11,0.61,0.02
General Performance Monitoring,2025-04-30T16:13:50+00:00,Apple M4,44.49,1.19,39.27,4.03,4.52,0.64,3.75,0.12,0.72,0.10,0.60,0.02
Recording Performance Monitoring,2025-04-30T16:08:58+00:00,Apple M4,43.61,1.22,38.29,4.11,4.59,0.75,3.68,0.15,0.73,0.12,0.59,0.02
Recording Performance Monitoring,2025-04-30T16:03:58+00:00,Apple M4,42.84,1.25,37.40,4.19,4.46,0.78,3.51,0.17,0.71,0.12,0.56,0.03
Recording Performance Monitoring,2025-04-30T15:58:58+00:00,Apple M4,42.21,1.27,36.64,4.29,4.28,0.79,3.31,0.17,0.68,0.13,0.53,0.03
Recording Performance Monitoring,2025-04-30T15:53:58+00:00,Apple M4,41.70,1.30,35.99,4.41,4.02,0.78,3.10,0.14,0.64,0.12,0.50,0.02
Recording Performance Monitoring,2025-04-30T15:48:58+00:00,Apple M4,41.33,1.34,35.45,4.54,3.91,0.80,2.94,0.17,0.63,0.13,0.47,0.03
Recording Performance Monitoring,2025-04-30T15:43:58+00:00,Apple M4,40.63,1.50,35.63,3.50,3.48,0.74,2.61,0.13,0.56,0.12,0.42,0.02
General Performance Monitoring,2025-04-30T15:43:50+00:00,Apple M4,41.13,1.38,35.06,4.69,3.71,0.82,2.70,0.19,0.59,0.13,0.43,0.03
Recording Performance Monitoring,2025-04-30T15:38:58+00:00,Apple M4,41.10,1.42,34.84,4.83,3.32,0.77,2.43,0.13,0.53,0.12,0.39,0.02
Recording Performance Monitoring,2025-04-30T15:33:58+00:00,Apple M4,41.14,1.49,34.62,5.03,3.31,0.78,2.33,0.20,0.53,0.12,0.37,0.03
Recording Performance Monitoring,2025-04-30T15:28:58+00:00,Apple M4,41.33,1.60,34.49,5.25,2.91,0.71,2.06,0.13,0.47,0.11,0.33,0.02
Recording Performance Monitoring,2025-04-30T15:23:58+00:00,Apple M4,41.36,1.78,34.05,5.53,3.01,0.87,1.96,0.18,0.48,0.14,0.31,0.03
Recording Performance Monitoring,2025-04-30T15:18:58+00:00,Apple M4,42.24,2.23,33.96,6.05,2.66,0.82,1.70,0.15,0.43,0.13,0.27,0.02
Recording Performance Monitoring,2025-04-30T15:13:58+00:00,Apple M4,34.75,10.50,24.13,0.13,2.75,1.18,1.50,0.07,0.44,0.19,0.24,0.01
General Performance Monitoring,2025-04-30T15:13:50+00:00,Apple M4,11.17,11.17,,0.00,1.08,1.03,,0.06,0.17,0.16,,0.01
