title,timestamp,performance.cpuModel,performance.cpuTotal,performance.cpuMain,performance.cpuRender,performance.cpuSwift,performance.memTotalPct,performance.memMainPct,performance.memRenderPct,performance.memSwiftPct,performance.memTotalGB,performance.memMainGB,performance.memRenderGB,performance.memSwiftGB
General Performance Monitoring,2025-04-28T14:30:30+00:00,Apple M4 Pro,12.16,0.97,8.69,2.51,6.69,0.54,6.10,0.05,1.61,0.13,1.46,0.01
General Performance Monitoring,2025-04-28T14:00:30+00:00,Apple M4 Pro,12.65,1.02,8.96,2.67,6.82,0.56,6.20,0.05,1.64,0.13,1.49,0.01
General Performance Monitoring,2025-04-28T13:30:30+00:00,Apple M4 Pro,13.24,1.08,9.30,2.86,6.81,0.56,6.20,0.05,1.64,0.13,1.49,0.01
General Performance Monitoring,2025-04-28T13:00:30+00:00,Apple M4 Pro,13.91,1.14,9.68,3.08,3.65,0.51,3.08,0.06,0.88,0.12,0.74,0.01
General Performance Monitoring,2025-04-28T12:30:30+00:00,Apple M4 Pro,14.70,1.22,10.14,3.34,6.84,0.59,6.20,0.05,1.64,0.14,1.49,0.01
General Performance Monitoring,2025-04-28T12:00:30+00:00,Apple M4 Pro,15.64,1.31,10.68,3.64,6.88,0.58,6.25,0.05,1.65,0.14,1.50,0.01
General Performance Monitoring,2025-04-28T11:30:30+00:00,Apple M4 Pro,16.76,1.42,11.34,4.00,6.91,0.59,6.27,0.05,1.66,0.14,1.51,0.01
General Performance Monitoring,2025-04-28T11:00:30+00:00,Apple M4 Pro,18.13,1.56,12.13,4.44,8.11,0.58,7.48,0.06,1.95,0.14,1.80,0.01
Recording Performance Monitoring,2025-04-28T10:30:34+00:00,Apple M4 Pro,13.50,4.25,9.25,0.00,6.49,0.64,5.77,0.07,1.56,0.15,1.39,0.02
General Performance Monitoring,2025-04-28T10:30:30+00:00,Apple M4 Pro,19.68,1.67,13.01,5.00,6.49,0.65,5.77,0.07,1.56,0.15,1.39,0.02
Recording Performance Monitoring,2025-04-28T10:25:34+00:00,Apple M4 Pro,19.91,1.67,13.13,5.10,6.45,0.64,5.74,0.07,1.55,0.15,1.38,0.02
Recording Performance Monitoring,2025-04-28T10:20:34+00:00,Apple M4 Pro,20.14,1.68,13.25,5.21,6.44,0.64,5.74,0.07,1.55,0.15,1.38,0.02
Recording Performance Monitoring,2025-04-28T10:15:33+00:00,Apple M4 Pro,20.39,1.68,13.39,5.33,6.42,0.65,5.70,0.07,1.54,0.16,1.37,0.02
Recording Performance Monitoring,2025-04-28T10:10:33+00:00,Apple M4 Pro,20.65,1.68,13.52,5.45,6.38,0.64,5.67,0.07,1.53,0.15,1.36,0.02
Recording Performance Monitoring,2025-04-28T10:05:33+00:00,Apple M4 Pro,20.92,1.68,13.67,5.57,6.33,0.64,5.62,0.07,1.52,0.15,1.35,0.02
Recording Performance Monitoring,2025-04-28T10:00:33+00:00,Apple M4 Pro,11.67,4.67,7.00,0.00,6.15,0.64,5.44,0.07,1.48,0.15,1.31,0.02
General Performance Monitoring,2025-04-28T10:00:30+00:00,Apple M4 Pro,21.21,1.68,13.82,5.71,6.15,0.64,5.44,0.07,1.48,0.15,1.31,0.02
